Date,Location,CompBenchmark,CompYoYChange,SFDetachBenchmark,SFDetachYoYChange,ApartBenchmark,ApartYoYChange
2016-06-01,Toronto C04,1282600.0,12.26,1498000.0,12.2,392200.0,8.27
2016-07-01,Toronto C04,1298600.0,13.67,1514800.0,12.81,399900.0,14.19
2016-08-01,Toronto C04,1313600.0,15.59,1544100.0,16.08,389400.0,9.49
2016-09-01,Toronto C04,1334600.0,16.94,1567900.0,17.43,394800.0,10.37
2016-10-01,Toronto C04,1376100.0,18.2,1614700.0,19.88,412200.0,7.24
2016-11-01,Toronto C04,1397800.0,17.68,1640600.0,19.68,417200.0,5.41
2016-12-01,Toronto C04,1406500.0,19.29,1631500.0,18.96,448300.0,19.22
2017-01-01,Toronto C04,1403500.0,18.14,1650400.0,17.44,443600.0,21.24
2017-02-01,Toronto C04,1437400.0,20.06,1693900.0,19.52,450300.0,23.93
2017-03-01,Toronto C04,1515600.0,27.84,1801400.0,27.42,453800.0,30.54
2017-04-01,Toronto C04,1570400.0,28.08,1856900.0,26.75,482200.0,36.27
2017-05-01,Toronto C04,1574700.0,23.77,1859700.0,22.82,492600.0,31.73
2017-06-01,Toronto C04,1565700.0,22.32,1846600.0,21.57,495900.0,30.33
2017-07-01,Toronto C04,1523700.0,17.68,1774800.0,15.5,506300.0,30.45
2017-08-01,Toronto C04,1485400.0,13.43,1709900.0,9.18,517600.0,36.8
2017-09-01,Toronto C04,1485400.0,12.11,1717700.0,8.55,508800.0,32.29
2017-10-01,Toronto C04,1516300.0,10.58,1762800.0,7.61,506700.0,26.79
2017-11-01,Toronto C04,1495300.0,7.4,1727600.0,3.77,515500.0,27.37
2017-12-01,Toronto C04,1518200.0,8.18,1753600.0,5.91,523400.0,20.44
2018-01-01,Toronto C04,1517500.0,7.9,1748000.0,5.53,527800.0,18.98
2018-02-01,Toronto C04,1524300.0,5.83,1764900.0,3.81,525300.0,16.64
2018-03-01,Toronto C04,1513200.0,-0.41,1736700.0,-3.9,540700.0,19.16
2018-04-01,Toronto C04,1495300.0,-5.02,1702900.0,-8.62,545400.0,13.09
2018-05-01,Toronto C04,1516300.0,-3.95,1740200.0,-6.72,539800.0,9.63
2018-06-01,Toronto C04,1521200.0,-2.84,1750100.0,-5.23,538900.0,8.68
2018-07-01,Toronto C04,1524300.0,0.04,1755700.0,-1.07,540500.0,6.76
2018-08-01,Toronto C04,1497800.0,0.83,1720500.0,0.62,535400.0,3.44
2018-09-01,Toronto C04,1515700.0,2.04,1750100.0,1.89,533100.0,4.77
2018-10-01,Toronto C04,1545900.0,1.95,1778300.0,0.88,544700.0,7.49
2018-11-01,Toronto C04,1554600.0,3.96,1791000.0,3.67,547900.0,6.28
2018-12-01,Toronto C04,1512000.0,-0.41,1738800.0,-0.84,539800.0,3.14
2019-01-01,Toronto C04,1505200.0,-0.81,1738100.0,-0.56,530600.0,0.53
2019-02-01,Toronto C04,1542800.0,1.21,1788900.0,1.36,538700.0,2.55
2019-03-01,Toronto C04,1529900.0,1.1,1766300.0,1.7,537000.0,-0.68
2019-04-01,Toronto C04,1528600.0,2.23,1752200.0,2.9,549100.0,0.68
2019-05-01,Toronto C04,1537300.0,1.38,1764200.0,1.38,550700.0,2.01
2019-06-01,Toronto C04,1524900.0,0.24,1732500.0,-1.01,562700.0,4.42
2019-07-01,Toronto C04,1516900.0,-0.45,1725400.0,-1.69,558600.0,3.29
2019-08-01,Toronto C04,1510100.0,0.82,1712800.0,-0.45,562300.0,5.01
2019-09-01,Toronto C04,1520600.0,0.33,1732500.0,-1.01,559300.0,4.9
2019-10-01,Toronto C04,1526200.0,-1.28,1736000.0,-2.38,563600.0,3.48
2019-11-01,Toronto C04,1540400.0,-0.91,1757900.0,-1.85,564100.0,2.95
2019-12-01,Toronto C04,1537300.0,1.67,1766300.0,1.58,557900.0,3.34
2020-01-01,Toronto C04,1529300.0,1.6,1738100.0,,567800.0,7.02
2020-02-01,Toronto C04,1570600.0,1.8,1780400.0,-0.47,581900.0,8.03
2020-03-01,Toronto C04,1592800.0,4.11,1811400.0,2.55,586100.0,9.13
2020-04-01,Toronto C04,1603900.0,4.93,1820600.0,3.9,593000.0,8.05
2020-05-01,Toronto C04,1612800.0,6.23,1831200.0,3.79,661500.0,13.08
2020-06-01,Toronto C04,1588500.0,5.06,1791000.0,3.38,669000.0,9.74
2020-07-01,Toronto C04,1589800.0,6.11,1805800.0,4.65,663700.0,11.66
2020-08-01,Toronto C04,1623400.0,8.8,1851600.0,8.06,661000.0,10.31
2020-09-01,Toronto C04,1629600.0,8.36,1868500.0,7.85,656700.0,9.79
2020-10-01,Toronto C04,1627700.0,8.24,1850200.0,6.57,668500.0,12.37
2020-11-01,Toronto C04,1608400.0,6.12,1838200.0,4.61,648700.0,9.53
2020-12-01,Toronto C04,1617800.0,6.12,1854400.0,4.99,652700.0,8.25
2021-01-01,Toronto C04,1652600.0,8.86,1905100.0,9.65,654800.0,5.93
2021-02-01,Toronto C04,1719900.0,10.74,1972800.0,10.8,685300.0,10.29
2021-03-01,Toronto C04,1718000.0,8.24,1995300.0,10.11,653200.0,1.33
2015-07-01,Toronto C06,772300.0,8.4,868500.0,12.1,401800.0,1.85
2015-08-01,Toronto C06,779100.0,7.6,877900.0,12.32,406000.0,0.11
2015-09-01,Toronto C06,786300.0,8.96,883900.0,11.26,407100.0,4.01
2015-10-01,Toronto C06,790300.0,10.06,892400.0,12.22,407100.0,5.32
2015-11-01,Toronto C06,794300.0,10.37,889000.0,11.19,413000.0,7.17
2015-12-01,Toronto C06,809800.0,13.53,902700.0,13.08,424100.0,12.82
2016-01-01,Toronto C06,815000.0,13.25,917200.0,13.39,420500.0,11.69
2016-02-01,Toronto C06,801800.0,10.56,921500.0,13.98,406200.0,5.03
2016-03-01,Toronto C06,822100.0,12.19,942900.0,15.1,418300.0,8.61
2016-04-01,Toronto C06,848500.0,13.87,972000.0,16.58,433100.0,10.74
2016-05-01,Toronto C06,907100.0,18.13,1061900.0,24.11,446000.0,9.26
2016-06-01,Toronto C06,927400.0,19.41,1097400.0,25.75,445100.0,10.42
2016-07-01,Toronto C06,942300.0,22.0,1130400.0,30.16,440700.0,9.69
2016-08-01,Toronto C06,944200.0,21.2,1143600.0,30.28,428900.0,5.66
2016-09-01,Toronto C06,949800.0,20.86,1148800.0,29.98,437800.0,7.55
2016-10-01,Toronto C06,953000.0,20.6,1138100.0,27.53,450800.0,10.76
2016-11-01,Toronto C06,979300.0,23.37,1162900.0,30.81,462800.0,12.04
2016-12-01,Toronto C06,980900.0,21.19,1167200.0,29.36,467400.0,10.22
2017-01-01,Toronto C06,987100.0,23.45,1204500.0,30.62,477100.0,13.53
2017-02-01,Toronto C06,1008300.0,27.36,1213900.0,30.19,498300.0,22.58
2017-03-01,Toronto C06,1054000.0,29.65,1249800.0,30.8,531900.0,26.98
2017-04-01,Toronto C06,1119000.0,33.07,1333500.0,35.15,559800.0,29.07
2017-05-01,Toronto C06,1157200.0,28.35,1384300.0,27.5,575300.0,28.89
2017-06-01,Toronto C06,1145300.0,26.66,1380900.0,23.3,586300.0,31.56
2017-07-01,Toronto C06,1081000.0,17.98,1267700.0,9.76,572100.0,29.67
2017-08-01,Toronto C06,1060400.0,15.43,1235700.0,5.58,566600.0,31.93
2017-09-01,Toronto C06,1044000.0,12.84,1204900.0,3.03,566400.0,29.21
2017-10-01,Toronto C06,1017600.0,9.1,1132700.0,-2.89,575000.0,27.39
2017-11-01,Toronto C06,1015600.0,6.36,1122500.0,-5.47,578500.0,24.87
2017-12-01,Toronto C06,1031200.0,7.42,1132300.0,-5.22,591600.0,26.48
2018-01-01,Toronto C06,1044000.0,7.45,1121200.0,-6.82,613000.0,28.51
2018-02-01,Toronto C06,1055300.0,6.32,1131900.0,-6.72,620100.0,24.46
2018-03-01,Toronto C06,1056900.0,1.76,1117300.0,-10.59,629200.0,18.3
2018-04-01,Toronto C06,1028500.0,-6.65,1098600.0,-17.62,604000.0,7.9
2018-05-01,Toronto C06,1078700.0,-5.33,1143000.0,-17.43,640500.0,11.34
2018-06-01,Toronto C06,1084100.0,-5.34,1146400.0,-16.98,644400.0,9.92
2018-07-01,Toronto C06,1070100.0,-1.01,1127200.0,-11.08,637600.0,11.44
2018-08-01,Toronto C06,1053000.0,-0.7,1106200.0,-10.47,628100.0,10.85
2018-09-01,Toronto C06,1044000.0,0.0,1102000.0,-8.54,620600.0,9.57
2018-10-01,Toronto C06,1041300.0,2.33,1076300.0,-4.98,629800.0,9.54
2018-11-01,Toronto C06,1053800.0,3.76,1073800.0,-4.34,643100.0,11.16
2018-12-01,Toronto C06,1046400.0,1.47,1055000.0,-6.83,643600.0,8.79
2019-01-01,Toronto C06,1048700.0,0.45,1063100.0,-5.18,642700.0,4.83
2019-02-01,Toronto C06,1048700.0,-0.63,1064000.0,-6.0,641300.0,3.42
